name,EOS,A(km),omega_0(rad/s),beta1_IC_b,tbounce_s,ndata
A10000w0.50_BHBLP,SFHo_ecapture_1.0,634.0,0.5,0.00074856878887,0.176937808905,14987
A10000w0.50_GShenFSU1.7,SFHo_ecapture_1.0,634.0,1.0,0.00298743815351,0.17759667897,18547
A10000w0.50_GShenFSU2.1,SFHo_ecapture_1.0,634.0,1.5,0.00666050631606,0.178722049631,18544
A10000w0.50_GShenNL3,SFHo_ecapture_1.0,634.0,2.0,0.0117343822851,0.180332435348,19739
A10000w0.50_HSDD2,SFHo_ecapture_1.0,634.0,2.5,0.0179653659435,0.182433986514,14992
A10000w0.50_HSFSG,SFHo_ecapture_1.0,634.0,3.0,0.0257466808232,0.18510437043900002,14991
A10000w0.50_HSIUF,SFHo_ecapture_1.0,634.0,3.5,0.0343339770385,0.188370393974,14991
A10000w0.50_HSNL3,SFHo_ecapture_1.0,634.0,4.0,0.0444717493824,0.192335031682,14991
A10000w0.50_HSTM1,SFHo_ecapture_1.0,634.0,4.5,0.0549006071874,0.197072006246,14987
A10000w0.50_HSTMA,SFHo_ecapture_1.0,634.0,5.0,0.0666151697899,0.202756684187,14991
A10000w0.50_HShen,SFHo_ecapture_1.0,634.0,5.5,0.07990173379,0.20955169968499998,13197
A10000w0.50_HShenH,SFHo_ecapture_1.0,634.0,6.0,0.0926050177176,0.21770303323300003,13188
A10000w0.50_LS180,SFHo_ecapture_1.0,634.0,6.5,0.106193730512,0.227553105556,15588
A10000w0.50_LS220,SFHo_ecapture_1.0,634.0,7.0,0.120124420174,0.23962870742,15488
A10000w0.50_LS375,SFHo_ecapture_1.0,634.0,7.5,0.134100819588,0.254622057278,15178
A10000w0.50_SFHo,SFHo_ecapture_1.0,634.0,8.0,0.145841952544,0.27370358361799996,14989
A10000w0.50_SFHx,SFHo_ecapture_1.0,634.0,8.5,0.158905624234,0.298736715954,14986
A10000w1.00_BHBL,SFHo_ecapture_1.0,634.0,9.0,0.170284777847,0.332813506304,15106
A10000w1.00_BHBLP,SFHo_ecapture_1.0,634.0,9.5,0.183087763321,0.38173098984,15104
A10000w1.00_GShenFSU2.1,SFHo_ecapture_10.0,634.0,0.5,0.00077101386215,0.165086102466,18801
A10000w1.00_GShenNL3,SFHo_ecapture_10.0,634.0,1.0,0.00305079160334,0.16566533302900002,19915
A10000w1.00_HSDD2,SFHo_ecapture_10.0,634.0,1.5,0.00675519400841,0.166653123712,15110
A10000w1.00_HSFSG,SFHo_ecapture_10.0,634.0,2.0,0.0118949405418,0.168077360129,15109
A10000w1.00_HSIUF,SFHo_ecapture_10.0,634.0,2.5,0.0182217883593,0.169928284716,15109
A10000w1.00_HSNL3,SFHo_ecapture_10.0,634.0,3.0,0.0260230754069,0.17227662772400001,15109
A10000w1.00_HSTM1,SFHo_ecapture_10.0,634.0,3.5,0.0344244474273,0.17514280990699999,15109
A10000w1.00_HSTMA,SFHo_ecapture_10.0,634.0,4.0,0.0444677168535,0.178620520675,15113
A10000w1.00_HShen,SFHo_ecapture_10.0,634.0,4.5,0.0545889102396,0.182757913626,13265
A10000w1.00_HShenH,SFHo_ecapture_10.0,634.0,5.0,0.0658831589014,0.187715941783,13257
A10000w1.00_LS180,SFHo_ecapture_10.0,634.0,5.5,0.078031613582,0.19361031972099998,15728
A10000w1.00_LS220,SFHo_ecapture_10.0,634.0,6.0,0.0905882687186,0.200648234796,15629
A10000w1.00_LS375,SFHo_ecapture_10.0,634.0,6.5,0.103876753542,0.20911955901100002,15499
A10000w1.00_SFHo,SFHo_ecapture_10.0,634.0,7.0,0.116773455586,0.21941410654500001,15110
A10000w1.00_SFHx,SFHo_ecapture_10.0,634.0,7.5,0.12941435311,0.232111300267,15106
A10000w1.50_BHBL,SFHo_ecapture_10.0,634.0,8.0,0.141735502981,0.248202570198,15307
A10000w1.50_BHBLP,SFHo_ecapture_10.0,634.0,8.5,0.152665837219,0.269214483991,15313
A10000w1.50_GShenFSU1.7,SFHo_ecapture_10.0,634.0,9.0,0.161968118054,0.297801309018,19338
A10000w1.50_GShenFSU2.1,SFHo_ecapture_10.0,634.0,9.5,0.176137631173,0.338868517315,19277
A10000w1.50_HSDD2,SFHo_ecapture_0.1,634.0,0.5,0.000774712927889,0.181146529468,15315
A10000w1.50_HSFSG,SFHo_ecapture_0.1,634.0,1.0,0.00318414132627,0.18185668603799998,15315
A10000w1.50_HSIUF,SFHo_ecapture_0.1,634.0,1.5,0.00700644664893,0.183025220753,15314
A10000w1.50_HSNL3,SFHo_ecapture_0.1,634.0,2.0,0.0121466841262,0.18468881350000002,15312
A10000w1.50_HSTM1,SFHo_ecapture_0.1,634.0,2.5,0.0193028476071,0.18690466578499998,15311
A10000w1.50_HSTMA,SFHo_ecapture_0.1,634.0,3.0,0.0270489624983,0.189671644189,15315
A10000w1.50_HShen,SFHo_ecapture_0.1,634.0,3.5,0.0368317973109,0.19309876993699998,13384
A10000w1.50_HShenH,SFHo_ecapture_0.1,634.0,4.0,0.0490723577875,0.197261500655,13375
A10000w1.50_LS180,SFHo_ecapture_0.1,634.0,4.5,0.0596406296019,0.202208959902,15978
A10000w1.50_LS220,SFHo_ecapture_0.1,634.0,5.0,0.0727482863223,0.208168420345,15874
A10000w1.50_LS375,SFHo_ecapture_0.1,634.0,5.5,0.0864477941311,0.21529478174900002,15732
A10000w1.50_SFHo,SFHo_ecapture_0.1,634.0,6.0,0.100470495817,0.223870163222,15315
A10000w1.50_SFHx,SFHo_ecapture_0.1,634.0,6.5,0.11339557586,0.234238581004,15311
A10000w2.00_BHBL,SFHo_ecapture_0.1,634.0,7.0,0.128348680584,0.246988768238,15620
A10000w2.00_BHBLP,SFHo_ecapture_0.1,634.0,7.5,0.144227280265,0.26289059815399995,15620
A10000w2.00_GShenFSU1.7,SFHo_ecapture_0.1,634.0,8.0,0.158130208239,0.283114519938,20170
A10000w2.00_GShenFSU2.1,SFHo_ecapture_0.1,634.0,8.5,0.171561056353,0.309720731503,19984
A10000w2.00_GShenNL3,SFHo_ecapture_0.1,634.0,9.0,0.186440721747,0.345959819477,21939
A10000w2.00_HSDD2,SFHo_ecapture_0.1,634.0,9.5,0.19269552118,0.39791542438,15623
A10000w2.00_HSFSG,SFHo,300.0,0.5,0.000383031460387,0.174414304057,15629
A10000w2.00_HSIUF,SFHo,300.0,1.0,0.00153029214818,0.174607653054,15624
A10000w2.00_HSNL3,SFHo,300.0,1.5,0.0034298686283,0.17493084281000001,15621
A10000w2.00_HSTM1,SFHo,300.0,2.0,0.00604447808074,0.175377668171,15622
A10000w2.00_HSTMA,SFHo,300.0,2.5,0.00933661728821,0.175960531932,15623
A10000w2.00_HShen,SFHo,300.0,3.0,0.0132632917884,0.176672293368,13553
A10000w2.00_HShenH,SFHo,300.0,3.5,0.017865594807,0.17752442233299998,13545
A10000w2.00_LS180,SFHo,300.0,4.0,0.0233092194697,0.178537665372,16373
A10000w2.00_LS220,SFHo,300.0,4.5,0.0290484688503,0.179669398478,16253
A10000w2.00_LS375,SFHo,300.0,5.0,0.0352703075561,0.180956577909,16102
A10000w2.00_SFHo,SFHo,300.0,5.5,0.0420936158562,0.182405679662,15624
A10000w2.00_SFHx,SFHo,300.0,6.0,0.0499822469976,0.184032258071,15621
A10000w2.50_BHBL,SFHo,300.0,6.5,0.0574267150502,0.18580803582,16054
A10000w2.50_BHBLP,SFHo,300.0,7.0,0.0652885880075,0.18777905984399998,16054
A10000w2.50_GShenFSU1.7,SFHo,300.0,7.5,0.0745271882649,0.189960611034,21485
A10000w2.50_GShenFSU2.1,SFHo,300.0,8.0,0.0830295414191,0.19233147095,21484
A10000w2.50_GShenNL3,SFHo,300.0,8.5,0.0930777588845,0.19495723816,23919
A10000w2.50_HSDD2,SFHo,300.0,9.0,0.102105835854,0.19778772224100002,16065
A10000w2.50_HSFSG,SFHo,300.0,9.5,0.112664862557,0.20089988664699998,16065
A10000w2.50_HSIUF,SFHo,300.0,10.0,0.12184528716,0.204278207718,16063
A10000w2.50_HSNL3,SFHo,300.0,10.5,0.132386230137,0.207985404383,16060
A10000w2.50_HSTM1,SFHo,300.0,11.0,0.142079529683,0.212018546077,16047
A10000w2.50_HSTMA,SFHo,300.0,11.5,0.152543210449,0.216428248154,16067
A10000w2.50_HShen,SFHo,300.0,12.0,0.16256665358,0.22123926099,13787
A10000w2.50_HShenH,SFHo,300.0,12.5,0.172128837656,0.226524865926,13774
A10000w2.50_LS180,SFHo,300.0,13.0,0.181063454854,0.232331873924,16933
A10000w2.50_LS220,SFHo,300.0,13.5,0.189318932301,0.238722614941,16802
A10000w2.50_LS375,SFHo,300.0,14.0,0.196966897506,0.245782196752,16629
A10000w2.50_SFHo,SFHo,300.0,14.5,0.201482678774,0.25356362172499997,16061
A10000w2.50_SFHx,SFHo,300.0,15.0,0.203367808961,0.262173931135,16056
A10000w3.00_BHBL,SFHo,300.0,15.5,0.210273745719,0.271853653588,16668
A10000w3.00_BHBLP,SFHo,467.0,0.5,0.000659974784067,0.174492272128,16670
A10000w3.00_GShenFSU1.7,SFHo,467.0,1.0,0.00264131227287,0.17491681498400002,23762
A10000w3.00_GShenFSU2.1,SFHo,467.0,1.5,0.00587671677519,0.17562336867199999,23762
A10000w3.00_GShenNL3,SFHo,467.0,2.0,0.0102574707457,0.17662117442,27818
A10000w3.00_HSDD2,SFHo,467.0,2.5,0.0157821518669,0.177925634032,16678
A10000w3.00_HSFSG,SFHo,467.0,3.0,0.0227640156853,0.179563651645,16674
A10000w3.00_HSIUF,SFHo,467.0,3.5,0.0303013923836,0.181523853686,16675
A10000w3.00_HSNL3,SFHo,467.0,4.0,0.0396618459801,0.183872806886,16674
A10000w3.00_HSTM1,SFHo,467.0,4.5,0.0487923213618,0.186582772622,16647
A10000w3.00_HSTMA,SFHo,467.0,5.0,0.0599209506971,0.189755734279,16601
A10000w3.00_HShen,SFHo,467.0,5.5,0.0706114500955,0.193391631501,14093
A10000w3.00_HShenH,SFHo,467.0,6.0,0.0825193753376,0.197592273875,14083
A10000w3.00_LS180,SFHo,467.0,6.5,0.095543096587,0.202405872639,17763
A10000w3.00_LS220,SFHo,467.0,7.0,0.109111021717,0.207921534979,17596
A10000w3.00_LS375,SFHo,467.0,7.5,0.122378109768,0.214258827661,17399
A10000w3.00_SFHo,SFHo,467.0,8.0,0.136141518362,0.22158421257500002,16676
A10000w3.00_SFHx,SFHo,467.0,8.5,0.148992463208,0.230100971435,16668
A10000w3.50_BHBL,SFHo,467.0,9.0,0.162849586626,0.24005676587799998,17536
A10000w3.50_BHBLP,SFHo,467.0,9.5,0.175257734257,0.251822970871,17535
A10000w3.50_GShenFSU1.7,SFHo,467.0,10.0,0.185527321847,0.265874297963,28770
A10000w3.50_GShenFSU2.1,SFHo,467.0,10.5,0.195285608793,0.2829088096,28631
A10000w3.50_GShenNL3,SFHo,467.0,11.0,0.20398362624,0.303887037035,41945
A10000w3.50_HSDD2,SFHo,467.0,11.5,0.209042509359,0.32991654695800005,17548
A10000w3.50_HSIUF,SFHo,634.0,0.5,0.000834853171472,0.17456701964000002,17421
A10000w3.50_HSNL3,SFHo,634.0,1.0,0.00333872071098,0.175216757747,17545
A10000w3.50_HSTM1,SFHo,634.0,1.5,0.00737770841063,0.17630729960900002,17346
A10000w3.50_HSTMA,SFHo,634.0,2.0,0.0128478925726,0.1778631277,17312
A10000w3.50_HShen,SFHo,634.0,2.5,0.0201326934909,0.179927326325,14500
A10000w3.50_HShenH,SFHo,634.0,3.0,0.02827325069,0.182506116227,14488
A10000w3.50_LS180,SFHo,634.0,3.5,0.0383173999268,0.185701905654,19025
A10000w3.50_LS220,SFHo,634.0,4.0,0.0486040054237,0.18953605016800001,18809
A10000w3.50_LS375,SFHo,634.0,4.5,0.060729885588,0.194155408642,18554
A10000w3.50_SFHo,SFHo,634.0,5.0,0.0741708742933,0.199679985808,17550
A10000w3.50_SFHx,SFHo,634.0,5.5,0.0868860364178,0.206248970385,17538
A10000w4.00_BHBL,SFHo,634.0,6.0,0.103335082032,0.214159012181,18836
A10000w4.00_BHBLP,SFHo,634.0,6.5,0.116851827455,0.223660451135,18838
A10000w4.00_GShenFSU1.7,SFHo,634.0,7.0,0.132712903256,0.23532320085800001,69200
A10000w4.00_GShenFSU2.1,SFHo,634.0,7.5,0.146226467271,0.249764927667,68416
A10000w4.00_GShenNL3,SFHo,634.0,8.0,0.160307468282,0.26813262646700003,70440
A10000w4.00_HSDD2,SFHo,634.0,8.5,0.173442221776,0.292134638698,18852
A10000w4.00_HSFSG,SFHo,634.0,9.0,0.183474130836,0.324842337286,18700
A10000w4.00_HSIUF,SFHo,634.0,9.5,0.19162990507,0.371772391589,18855
A10000w4.00_HSNL3,SFHo,1268.0,0.5,0.00108028014608,0.174757739323,18849
A10000w4.00_HSTM1,SFHo,1268.0,1.0,0.00427379644411,0.17598799984799998,18847
A10000w4.00_HSTMA,SFHo,1268.0,1.5,0.00935178626294,0.178084303592,18857
A10000w4.00_HShen,SFHo,1268.0,2.0,0.0166427811617,0.18115659665800002,15032
A10000w4.00_HShenH,SFHo,1268.0,2.5,0.0252559528164,0.185316281736,15017
A10000w4.00_LS180,SFHo,1268.0,3.0,0.0359957890251,0.190809089983,21195
A10000w4.00_LS220,SFHo,1268.0,3.5,0.0486425071878,0.19794992439200002,20869
A10000w4.00_LS375,SFHo,1268.0,4.0,0.0618070593557,0.207232657072,20479
A10000w4.00_SFHo,SFHo,1268.0,4.5,0.0758955935359,0.21948789651300002,18849
A10000w4.00_SFHx,SFHo,1268.0,5.0,0.0915412259052,0.236179727051,18847
A10000w4.50_BHBL,SFHo,1268.0,5.5,0.105577183198,0.260075313522,21010
A10000w4.50_BHBLP,SFHo,1268.0,6.0,0.121795561488,0.297643159887,21011
A10000w4.50_GShenFSU1.7,SFHo,1268.0,6.5,0.137029888775,0.368224162169,76342
A10000w4.50_GShenFSU2.1,SFHo,10000.0,0.5,0.00119391387907,0.174953805244,76360
A10000w4.50_GShenNL3,SFHo,10000.0,1.0,0.00468286414728,0.17676132368699998,78127
A10000w4.50_HSDD2,SFHo,10000.0,1.5,0.0102425061029,0.17992618596899998,21040
A10000w4.50_HSFSG,SFHo,10000.0,2.0,0.0181790148977,0.184679416204,21042
A10000w4.50_HSIUF,SFHo,10000.0,2.5,0.0274384457517,0.191398098399,21044
A10000w4.50_HSNL3,SFHo,10000.0,3.0,0.0386112989621,0.200809083148,21035
A10000w4.50_HSTM1,SFHo,10000.0,3.5,0.051653512808,0.21418342792,21034
A10000w4.50_HSTMA,SFHo,10000.0,4.0,0.0651439606487,0.234167892707,21048
A10000w4.50_HShen,SFHo,10000.0,4.5,0.0794587005719,0.267616308832,15751
A10000w4.50_HShenH,SFHo,10000.0,5.0,0.0914644146051,0.342414764498,15729
A10000w4.50_LS220,BHBL,300.0,0.5,0.000367758491558,0.17435498332500002,25714
A10000w4.50_LS375,BHBL,300.0,1.0,0.0014650390779,0.17454816693199998,24750
A10000w4.50_SFHo,BHBL,300.0,1.5,0.00327742400425,0.174863884676,21038
A10000w4.50_SFHx,BHBL,300.0,2.0,0.00577482434832,0.17531641133,21028
A10000w5.00_BHBL,BHBL,300.0,2.5,0.00894044662152,0.175898762692,25846
A10000w5.00_BHBLP,BHBL,300.0,3.0,0.0127460000022,0.176615925615,25847
A10000w5.00_GShenFSU1.7,BHBL,300.0,3.5,0.0171659871562,0.177471508592,67869
A10000w5.00_GShenFSU2.1,BHBL,300.0,4.0,0.0222796576792,0.17847224915999998,68337
A10000w5.00_GShenNL3,BHBL,300.0,4.5,0.0277525685393,0.17961306337299998,68416
A10000w5.00_HSDD2,BHBL,300.0,5.0,0.0337436417557,0.18089938551,25948
A10000w5.00_HSFSG,BHBL,300.0,5.5,0.0407077072709,0.182362333789,25892
A10000w5.00_HSIUF,BHBL,300.0,6.0,0.0476028553996,0.183971206948,25806
A10000w5.00_HSNL3,BHBL,300.0,6.5,0.0548148278167,0.18575437093299998,25941
A10000w5.00_HSTM1,BHBL,300.0,7.0,0.0631394475214,0.18773987235499998,25930
A10000w5.00_HSTMA,BHBL,300.0,7.5,0.0709097537911,0.18988929508000002,25956
A10000w5.00_HShen,BHBL,300.0,8.0,0.0796513663943,0.192261469061,16757
A10000w5.00_HShenH,BHBL,300.0,8.5,0.0886413012465,0.194857181721,16733
A10000w5.00_LS180,BHBL,300.0,9.0,0.097474631923,0.19768260601,67173
A10000w5.00_LS220,BHBL,300.0,9.5,0.107651139186,0.200777299583,66831
A10000w5.00_LS375,BHBL,300.0,10.0,0.117718953314,0.204150303742,66147
A10000w5.00_SFHo,BHBL,300.0,10.5,0.12783330044,0.207835038666,25931
A10000w5.00_SFHx,BHBL,300.0,11.0,0.137776887012,0.21184930767500001,25917
A10000w5.50_BHBL,BHBL,300.0,11.5,0.147803997785,0.21622827158000002,58130
A10000w5.50_BHBLP,BHBL,300.0,12.0,0.157697986299,0.221042418411,60308
A10000w5.50_GShenFSU1.7,BHBL,300.0,12.5,0.166474739469,0.22629830801400003,72958
A10000w5.50_GShenFSU2.1,BHBL,300.0,13.0,0.17529860533,0.232085430605,73342
A10000w5.50_GShenNL3,BHBL,300.0,13.5,0.18343422807,0.238485048631,73100
A10000w5.50_HSDD2,BHBL,300.0,14.0,0.191107864856,0.245543197632,70045
A10000w5.50_HSFSG,BHBL,300.0,14.5,0.195165833381,0.253289445949,66517
A10000w5.50_HSIUF,BHBL,300.0,15.0,0.200688699719,0.26191582410299996,76119
A10000w5.50_HSNL3,BHBL,300.0,15.5,0.203721451142,0.27151783332,69496
A10000w5.50_HSTM1,BHBL,467.0,0.5,0.000636167083389,0.174429253467,65798
A10000w5.50_HSTMA,BHBL,467.0,1.0,0.00253043842507,0.174855396003,66453
A10000w5.50_HShen,BHBL,467.0,1.5,0.0056236488732,0.175560767996,18290
A10000w5.50_HShenH,BHBL,467.0,2.0,0.00986885316674,0.17655699742300002,18031
A10000w5.50_LS180,BHBL,467.0,2.5,0.0152221633182,0.177863806522,76313
A10000w5.50_LS220,BHBL,467.0,3.0,0.0217929119453,0.179505183382,77020
A10000w5.50_LS375,BHBL,467.0,3.5,0.0290430718821,0.181466097259,76878
A10000w5.50_SFHo,BHBL,467.0,4.0,0.0378442654115,0.183804219982,74144
A10000w5.50_SFHx,BHBL,467.0,4.5,0.0467313359472,0.186522940028,108507
A1268w0.50_BHBL,BHBL,467.0,5.0,0.0571931357033,0.189690856202,14976
A1268w0.50_BHBLP,BHBL,467.0,5.5,0.0683955251667,0.193330924783,14972
A1268w0.50_GShenFSU1.7,BHBL,467.0,6.0,0.0802654971211,0.19751101122,18515
A1268w0.50_GShenFSU2.1,BHBL,467.0,6.5,0.091458759098,0.2022795571,18515
A1268w0.50_GShenNL3,BHBL,467.0,7.0,0.10540384493,0.20779659100800002,19700
A1268w0.50_HSDD2,BHBL,467.0,7.5,0.118145977636,0.214097298053,14977
A1268w0.50_HSFSG,BHBL,467.0,8.0,0.131938682465,0.221398635629,14980
A1268w0.50_HSIUF,BHBL,467.0,8.5,0.144477511931,0.229874910643,14978
A1268w0.50_HSNL3,BHBL,467.0,9.0,0.158047507385,0.239785564903,14976
A1268w0.50_HSTM1,BHBL,467.0,9.5,0.170163838732,0.251506721049,14977
A1268w0.50_HSTMA,BHBL,467.0,10.0,0.180684204561,0.265531889288,14982
A1268w0.50_HShen,BHBL,467.0,10.5,0.189607695327,0.28249623326699996,13191
A1268w0.50_HShenH,BHBL,467.0,11.0,0.197325203851,0.303373564132,13182
A1268w0.50_LS180,BHBL,467.0,11.5,0.20263617869,0.329247210219,15573
A1268w0.50_LS375,BHBL,634.0,0.5,0.00080590450788,0.174506368128,15176
A1268w0.50_SFHo,BHBL,634.0,1.0,0.0031972337143,0.175150218043,14980
A1268w0.50_SFHx,BHBL,634.0,1.5,0.00708525905144,0.176246281058,14975
A1268w1.00_BHBL,BHBL,634.0,2.0,0.012409331043,0.17779453457299998,15051
A1268w1.00_BHBLP,BHBL,634.0,2.5,0.0193126233482,0.179862731566,15055
A1268w1.00_GShenFSU1.7,BHBL,634.0,3.0,0.0271345510185,0.182442328712,18691
A1268w1.00_GShenFSU2.1,BHBL,634.0,3.5,0.036629459795,0.185629883546,18688
A1268w1.00_GShenNL3,BHBL,634.0,4.0,0.047643953915,0.18948336183800002,19763
A1268w1.00_HSDD2,BHBL,634.0,4.5,0.0584795543073,0.1940798644,15057
A1268w1.00_HSFSG,BHBL,634.0,5.0,0.0710993640969,0.199580691191,15060
A1268w1.00_HSIUF,BHBL,634.0,5.5,0.0848168372115,0.206148089865,15061
A1268w1.00_HSNL3,BHBL,634.0,6.0,0.0984373107487,0.213984052651,15061
A1268w1.00_HSTM1,BHBL,634.0,6.5,0.113737919491,0.22347312571300001,15058
A1268w1.00_HSTMA,BHBL,634.0,7.0,0.12824824264,0.235050449537,15059
A1268w1.00_HShen,BHBL,634.0,7.5,0.142691237861,0.249456006093,13242
A1268w1.00_HShenH,BHBL,634.0,8.0,0.156909030347,0.26774183659,13234
A1268w1.00_LS180,BHBL,634.0,8.5,0.168711922495,0.291644055398,15671
A1268w1.00_LS220,BHBL,634.0,9.0,0.179028235327,0.324176468464,15570
A1268w1.00_LS375,BHBL,634.0,9.5,0.186993068557,0.37079857820400003,15442
A1268w1.00_SFHo,BHBL,1268.0,0.5,0.00103934865684,0.17469427178699998,15060
A1268w1.00_SFHx,BHBL,1268.0,1.0,0.00409781196423,0.175914921937,15055
A1268w1.50_BHBL,BHBL,1268.0,1.5,0.00907381359343,0.17801581597500002,15188
A1268w1.50_BHBLP,BHBL,1268.0,2.0,0.0160822991166,0.18108518465200002,15193
A1268w1.50_GShenFSU1.7,BHBL,1268.0,2.5,0.0243491821068,0.18524304816099998,18994
A1268w1.50_GShenFSU2.1,BHBL,1268.0,3.0,0.034455458791,0.190728489588,18994
A1268w1.50_GShenNL3,BHBL,1268.0,3.5,0.0463312895713,0.197851184359,20316
