name,EOS,A(km),omega_0(rad/s),ndata
A10000w0.50_BHBL,BHBL,10000,0,14986
A10000w0.50_BHBLP,BHBLP,10000,0,14987
A10000w0.50_GShenFSU1.7,GShenFSU1.7,10000,0,18547
A10000w0.50_GShenFSU2.1,GShenFSU2.1,10000,0,18544
A10000w0.50_GShenNL3,GShenNL3,10000,0,19739
A10000w0.50_HSDD2,HSDD2,10000,0,14992
A10000w0.50_HSFSG,HSFSG,10000,0,14991
A10000w0.50_HSIUF,HSIUF,10000,0,14991
A10000w0.50_HSNL3,HSNL3,10000,0,14991
A10000w0.50_HSTM1,HSTM1,10000,0,14987
A10000w0.50_HSTMA,HSTMA,10000,0,14991
A10000w0.50_HShen,HShen,10000,0,13197
A10000w0.50_HShenH,HShenH,10000,0,13188
A10000w0.50_LS180,LS180,10000,0,15588
A10000w0.50_LS220,LS220,10000,0,15488
A10000w0.50_LS375,LS375,10000,0,15178
A10000w0.50_SFHo,SFHo,10000,0,14989
A10000w0.50_SFHx,SFHx,10000,0,14986
A10000w1.00_BHBL,BHBL,10000,1,15106
A10000w1.00_BHBLP,BHBLP,10000,1,15104
A10000w1.00_GShenFSU1.7,GShenFSU1.7,10000,1,18830
A10000w1.00_GShenFSU2.1,GShenFSU2.1,10000,1,18801
A10000w1.00_GShenNL3,GShenNL3,10000,1,19915
A10000w1.00_HSDD2,HSDD2,10000,1,15110
A10000w1.00_HSFSG,HSFSG,10000,1,15109
A10000w1.00_HSIUF,HSIUF,10000,1,15109
A10000w1.00_HSNL3,HSNL3,10000,1,15109
A10000w1.00_HSTM1,HSTM1,10000,1,15109
A10000w1.00_HSTMA,HSTMA,10000,1,15113
A10000w1.00_HShen,HShen,10000,1,13265
A10000w1.00_HShenH,HShenH,10000,1,13257
A10000w1.00_LS180,LS180,10000,1,15728
A10000w1.00_LS220,LS220,10000,1,15629
A10000w1.00_LS375,LS375,10000,1,15499
A10000w1.00_SFHo,SFHo,10000,1,15110
A10000w1.00_SFHx,SFHx,10000,1,15106
A10000w1.50_BHBL,BHBL,10000,1,15307
A10000w1.50_BHBLP,BHBLP,10000,1,15313
A10000w1.50_GShenFSU1.7,GShenFSU1.7,10000,1,19338
A10000w1.50_GShenFSU2.1,GShenFSU2.1,10000,1,19277
A10000w1.50_GShenNL3,GShenNL3,10000,1,20794
A10000w1.50_HSDD2,HSDD2,10000,1,15315
A10000w1.50_HSFSG,HSFSG,10000,1,15315
A10000w1.50_HSIUF,HSIUF,10000,1,15314
A10000w1.50_HSNL3,HSNL3,10000,1,15312
A10000w1.50_HSTM1,HSTM1,10000,1,15311
A10000w1.50_HSTMA,HSTMA,10000,1,15315
A10000w1.50_HShen,HShen,10000,1,13384
A10000w1.50_HShenH,HShenH,10000,1,13375
A10000w1.50_LS180,LS180,10000,1,15978
A10000w1.50_LS220,LS220,10000,1,15874
A10000w1.50_LS375,LS375,10000,1,15732
A10000w1.50_SFHo,SFHo,10000,1,15315
A10000w1.50_SFHx,SFHx,10000,1,15311
A10000w2.00_BHBL,BHBL,10000,2,15620
A10000w2.00_BHBLP,BHBLP,10000,2,15620
A10000w2.00_GShenFSU1.7,GShenFSU1.7,10000,2,20170
A10000w2.00_GShenFSU2.1,GShenFSU2.1,10000,2,19984
A10000w2.00_GShenNL3,GShenNL3,10000,2,21939
A10000w2.00_HSDD2,HSDD2,10000,2,15623
A10000w2.00_HSFSG,HSFSG,10000,2,15629
A10000w2.00_HSIUF,HSIUF,10000,2,15624
A10000w2.00_HSNL3,HSNL3,10000,2,15621
A10000w2.00_HSTM1,HSTM1,10000,2,15622
A10000w2.00_HSTMA,HSTMA,10000,2,15623
A10000w2.00_HShen,HShen,10000,2,13553
A10000w2.00_HShenH,HShenH,10000,2,13545
A10000w2.00_LS180,LS180,10000,2,16373
A10000w2.00_LS220,LS220,10000,2,16253
A10000w2.00_LS375,LS375,10000,2,16102
